country,iso3c,year,coverage,measure,format,source,timespan,lorenz_points
Australia,AUS,2008,National,Income,Unit record,AUS_N2008Y,UnDefined,20
Australia,AUS,2010,National,Income,Unit record,AUS_N2010Y,UnDefined,20
Austria,AUT,2004,National,Income,Unit record,AUT_N2004Y,UnDefined,100
Austria,AUT,2005,National,Income,Unit record,AUT_N2005Y,UnDefined,100
Austria,AUT,2006,National,Income,Unit record,AUT_N2006Y,UnDefined,100
Austria,AUT,2007,National,Income,Unit record,AUT_N2007Y,UnDefined,100
Austria,AUT,2008,National,Income,Unit record,AUT_N2008Y,UnDefined,100
Austria,AUT,2009,National,Income,Unit record,AUT_N2009Y,UnDefined,100
Austria,AUT,2010,National,Income,Unit record,AUT_N2010Y,UnDefined,100
Austria,AUT,2011,National,Income,Unit record,AUT_N2011Y,UnDefined,100
Austria,AUT,2012,National,Income,Unit record,AUT_N2012Y,UnDefined,100
Azerbaijan,AZE,1995,National,Consumption,Unit record,AZE_N1995X,UnDefined,100
Azerbaijan,AZE,2001,National,Consumption,Unit record,AZE_N2001X,UnDefined,100
Azerbaijan,AZE,2002,National,Consumption,Unit record,AZE_N2002X,UnDefined,100
Azerbaijan,AZE,2003,National,Consumption,Unit record,AZE_N2003X,UnDefined,100
Azerbaijan,AZE,2004,National,Consumption,Unit record,AZE_N2004X,UnDefined,100
Azerbaijan,AZE,2005,National,Consumption,Unit record,AZE_N2005X,UnDefined,100
Azerbaijan,AZE,2008,National,Consumption,Unit record,AZE_N2008X,UnDefined,100
Burundi,BDI,1992,National,Consumption,Grouped,BDI_N1992X,UnDefined,10
Burundi,BDI,1998,National,Consumption,Unit record,BDI_N1998X,UnDefined,100
Burundi,BDI,2006,National,Consumption,Unit record,BDI_N2006X,UnDefined,100
Belgium,BEL,2004,National,Income,Unit record,BEL_N2004Y,UnDefined,100
Belgium,BEL,2005,National,Income,Unit record,BEL_N2005Y,UnDefined,100
Belgium,BEL,2006,National,Income,Unit record,BEL_N2006Y,UnDefined,100
Belgium,BEL,2007,National,Income,Unit record,BEL_N2007Y,UnDefined,100
Belgium,BEL,2008,National,Income,Unit record,BEL_N2008Y,UnDefined,100
Belgium,BEL,2009,National,Income,Unit record,BEL_N2009Y,UnDefined,100
Belgium,BEL,2010,National,Income,Unit record,BEL_N2010Y,UnDefined,100
Belgium,BEL,2011,National,Income,Unit record,BEL_N2011Y,UnDefined,100
Belgium,BEL,2012,National,Income,Unit record,BEL_N2012Y,UnDefined,100
Benin,BEN,2003,National,Consumption,Unit record,BEN_N2003X,UnDefined,100
Benin,BEN,2011,National,Consumption,Unit record,BEN_N2011X,UnDefined,100
Burkina Faso,BFA,1994,National,Consumption,Unit record,BFA_N1994X,UnDefined,100
Burkina Faso,BFA,1998,National,Consumption,Unit record,BFA_N1998X,UnDefined,100
Burkina Faso,BFA,2003,National,Consumption,Unit record,BFA_N2003X,UnDefined,100
Burkina Faso,BFA,2009,National,Consumption,Unit record,BFA_N2009X,UnDefined,100
Burkina Faso,BFA,2014,National,Consumption,Unit record,BFA_N2014X,UnDefined,100
Bangladesh,BGD,1983,National,Consumption,Grouped,BGD_N1983X,UnDefined,14
Bangladesh,BGD,1985,National,Consumption,Grouped,BGD_N1985X,UnDefined,14
Bangladesh,BGD,1988,National,Consumption,Grouped,BGD_N1988X,UnDefined,16
Bangladesh,BGD,1991,National,Consumption,Unit record,BGD_N1991X,UnDefined,100
Bangladesh,BGD,1995,National,Consumption,Unit record,BGD_N1995X,UnDefined,100
Bangladesh,BGD,2000,National,Consumption,Unit record,BGD_N2000X,UnDefined,100
Bangladesh,BGD,2005,National,Consumption,Unit record,BGD_N2005X,UnDefined,100
Bangladesh,BGD,2010,National,Consumption,Unit record,BGD_N2010X,UnDefined,100
Bulgaria,BGR,1989,National,Consumption,Grouped,BGR_N1989X,UnDefined,10
Bulgaria,BGR,1992,National,Income,Grouped,BGR_N1992Y,UnDefined,10
Bulgaria,BGR,1994,National,Consumption,Grouped,BGR_N1994X,UnDefined,10
Bulgaria,BGR,1995,National,Consumption,Unit record,BGR_N1995X,UnDefined,100
Bulgaria,BGR,1997,National,Consumption,Grouped,BGR_N1997X,UnDefined,10
Bulgaria,BGR,2001,National,Consumption,Unit record,BGR_N2001X,UnDefined,100
Bulgaria,BGR,2003,National,Consumption,Unit record,BGR_N2003X,UnDefined,100
Bulgaria,BGR,2006,National,Income,Unit record,BGR_N2006Y,UnDefined,100
Bulgaria,BGR,2007,National,Consumption,Unit record,BGR_N2007X,UnDefined,100
Bulgaria,BGR,2007,National,Income,Unit record,BGR_N2007Y,UnDefined,100
Bulgaria,BGR,2008,National,Income,Unit record,BGR_N2008Y,UnDefined,100
Bulgaria,BGR,2009,National,Income,Unit record,BGR_N2009Y,UnDefined,100
Bulgaria,BGR,2010,National,Income,Unit record,BGR_N2010Y,UnDefined,100
Bulgaria,BGR,2011,National,Income,Unit record,BGR_N2011Y,UnDefined,100
Bulgaria,BGR,2012,National,Income,Unit record,BGR_N2012Y,UnDefined,100
Bosnia and Herzegovina,BIH,2001,National,Consumption,Unit record,BIH_N2001X,UnDefined,100
Bosnia and Herzegovina,BIH,2004,National,Consumption,Unit record,BIH_N2004X,UnDefined,100
Bosnia and Herzegovina,BIH,2007,National,Consumption,Unit record,BIH_N2007X,UnDefined,100
Bosnia and Herzegovina,BIH,2011,National,Consumption,Unit record,BIH_N2011X,UnDefined,100
Belarus,BLR,1988,National,Income,Grouped,BLR_N1988Y,UnDefined,5
Belarus,BLR,1993,National,Income,Grouped,BLR_N1993Y,UnDefined,26
Belarus,BLR,1995,National,Income,Grouped,BLR_N1995Y,UnDefined,10
Belarus,BLR,1998,National,Consumption,Unit record,BLR_N1998X,UnDefined,100
Belarus,BLR,1999,National,Consumption,Unit record,BLR_N1999X,UnDefined,100
Belarus,BLR,2000,National,Consumption,Unit record,BLR_N2000X,UnDefined,100
Belarus,BLR,2001,National,Consumption,Unit record,BLR_N2001X,UnDefined,100
Belarus,BLR,2002,National,Consumption,Unit record,BLR_N2002X,UnDefined,100
Belarus,BLR,2003,National,Consumption,Unit record,BLR_N2003X,UnDefined,100
Belarus,BLR,2004,National,Consumption,Unit record,BLR_N2004X,UnDefined,100
Belarus,BLR,2005,National,Consumption,Unit record,BLR_N2005X,UnDefined,100
Belarus,BLR,2006,National,Consumption,Unit record,BLR_N2006X,UnDefined,100
Belarus,BLR,2007,National,Consumption,Unit record,BLR_N2007X,UnDefined,100
Belarus,BLR,2008,National,Consumption,Unit record,BLR_N2008X,UnDefined,100
Belarus,BLR,2009,National,Consumption,Unit record,BLR_N2009X,UnDefined,100
Belarus,BLR,2010,National,Consumption,Unit record,BLR_N2010X,UnDefined,100
Belarus,BLR,2011,National,Consumption,Unit record,BLR_N2011X,UnDefined,100
Belarus,BLR,2012,National,Consumption,Unit record,BLR_N2012X,UnDefined,100
Belarus,BLR,2013,National,Consumption,Unit record,BLR_N2013X,UnDefined,100
Belarus,BLR,2014,National,Consumption,Unit record,BLR_N2014X,UnDefined,100
Belize,BLZ,1993,National,Income,Unit record,BLZ_N1993Y,UnDefined,20
Belize,BLZ,1994,National,Income,Unit record,BLZ_N1994Y,UnDefined,20
Belize,BLZ,1995,National,Consumption,Unit record,BLZ_N1995X,UnDefined,20
Belize,BLZ,1996,National,Income,Unit record,BLZ_N1996Y,UnDefined,20
Belize,BLZ,1997,National,Income,Unit record,BLZ_N1997Y,UnDefined,20
Belize,BLZ,1998,National,Income,Unit record,BLZ_N1998Y,UnDefined,20
Belize,BLZ,1999,National,Income,Unit record,BLZ_N1999Y,UnDefined,20
Bolivia,BOL,1992,Urban,Income,Unit record,BOL_U1992Y,UnDefined,100
Bolivia,BOL,1990,National,Income,Grouped,BOL_N1990Y,UnDefined,10
Bolivia,BOL,1997,National,Income,Unit record,BOL_N1997Y,UnDefined,100
Bolivia,BOL,1999,National,Income,Unit record,BOL_N1999Y,UnDefined,100
Bolivia,BOL,2000,National,Income,Unit record,BOL_N2000Y,UnDefined,100
Bolivia,BOL,2001,National,Income,Unit record,BOL_N2001Y,UnDefined,100
Bolivia,BOL,2002,National,Income,Unit record,BOL_N2002Y,UnDefined,100
Bolivia,BOL,2004,National,Income,Unit record,BOL_N2004Y,UnDefined,100
Bolivia,BOL,2005,National,Income,Unit record,BOL_N2005Y,UnDefined,100
Bolivia,BOL,2006,National,Income,Unit record,BOL_N2006Y,UnDefined,100
Bolivia,BOL,2007,National,Income,Unit record,BOL_N2007Y,UnDefined,100
Bolivia,BOL,2008,National,Income,Unit record,BOL_N2008Y,UnDefined,100
Bolivia,BOL,2009,National,Income,Unit record,BOL_N2009Y,UnDefined,100
Bolivia,BOL,2011,National,Income,Unit record,BOL_N2011Y,UnDefined,100
Bolivia,BOL,2012,National,Income,Unit record,BOL_N2012Y,UnDefined,100
Bolivia,BOL,2013,National,Income,Unit record,BOL_N2013Y,UnDefined,100
Bolivia,BOL,2014,National,Income,Unit record,BOL_N2014Y,UnDefined,100
Brazil,BRA,1981,National,Income,Unit record,BRA_N1981Y,UnDefined,100
Brazil,BRA,1982,National,Income,Unit record,BRA_N1982Y,UnDefined,100
Brazil,BRA,1983,National,Income,Unit record,BRA_N1983Y,UnDefined,100
Brazil,BRA,1984,National,Income,Unit record,BRA_N1984Y,UnDefined,100
Brazil,BRA,1985,National,Income,Unit record,BRA_N1985Y,UnDefined,100
Brazil,BRA,1986,National,Income,Unit record,BRA_N1986Y,UnDefined,100
Brazil,BRA,1987,National,Income,Unit record,BRA_N1987Y,UnDefined,100
Brazil,BRA,1988,National,Income,Unit record,BRA_N1988Y,UnDefined,100
Brazil,BRA,1989,National,Income,Unit record,BRA_N1989Y,UnDefined,100
Brazil,BRA,1990,National,Income,Unit record,BRA_N1990Y,UnDefined,100
Brazil,BRA,1992,National,Income,Unit record,BRA_N1992Y,UnDefined,100
Brazil,BRA,1993,National,Income,Unit record,BRA_N1993Y,UnDefined,100
Brazil,BRA,1995,National,Income,Unit record,BRA_N1995Y,UnDefined,100
Brazil,BRA,1996,National,Income,Unit record,BRA_N1996Y,UnDefined,100
Brazil,BRA,1997,National,Income,Unit record,BRA_N1997Y,UnDefined,100
Brazil,BRA,1998,National,Income,Unit record,BRA_N1998Y,UnDefined,100
Brazil,BRA,1999,National,Income,Unit record,BRA_N1999Y,UnDefined,100
Brazil,BRA,2001,National,Income,Unit record,BRA_N2001Y,UnDefined,100
Brazil,BRA,2002,National,Income,Unit record,BRA_N2002Y,UnDefined,100
Brazil,BRA,2003,National,Income,Unit record,BRA_N2003Y,UnDefined,100
Brazil,BRA,2004,National,Income,Unit record,BRA_N2004Y,UnDefined,100
Brazil,BRA,2005,National,Income,Unit record,BRA_N2005Y,UnDefined,100
Brazil,BRA,2006,National,Income,Unit record,BRA_N2006Y,UnDefined,100
Brazil,BRA,2007,National,Income,Unit record,BRA_N2007Y,UnDefined,100
Brazil,BRA,2008,National,Income,Unit record,BRA_N2008Y,UnDefined,100
Brazil,BRA,2009,National,Income,Unit record,BRA_N2009Y,UnDefined,100
Brazil,BRA,2011,National,Income,Unit record,BRA_N2011Y,UnDefined,100
Brazil,BRA,2012,National,Income,Unit record,BRA_N2012Y,UnDefined,100
Brazil,BRA,2013,National,Income,Unit record,BRA_N2013Y,UnDefined,100
Brazil,BRA,2014,National,Income,Unit record,BRA_N2014Y,UnDefined,100
Bhutan,BTN,2003,National,Consumption,Unit record,BTN_N2003X,UnDefined,100
Bhutan,BTN,2007,National,Consumption,Unit record,BTN_N2007X,UnDefined,100
Bhutan,BTN,2012,National,Consumption,Unit record,BTN_N2012X,UnDefined,100
Botswana,BWA,1985,National,Consumption,Grouped,BWA_N1985X,UnDefined,8
Botswana,BWA,1993,National,Consumption,Grouped,BWA_N1993X,UnDefined,10
Botswana,BWA,2002,National,Consumption,Unit record,BWA_N2002X,UnDefined,100
Botswana,BWA,2009,National,Consumption,Unit record,BWA_N2009X,UnDefined,100
Central African Republic,CAF,1992,National,Consumption,Grouped,CAF_N1992X,UnDefined,10
Central African Republic,CAF,2003,National,Consumption,Unit record,CAF_N2003X,UnDefined,100
Central African Republic,CAF,2008,National,Consumption,Unit record,CAF_N2008X,UnDefined,100
Canada,CAN,1981,National,Income,Unit record,CAN_N1981Y,UnDefined,20
Canada,CAN,1987,National,Income,Unit record,CAN_N1987Y,UnDefined,20
Canada,CAN,1991,National,Income,Unit record,CAN_N1991Y,UnDefined,20
Canada,CAN,1994,National,Income,Unit record,CAN_N1994Y,UnDefined,20
Canada,CAN,1997,National,Income,Unit record,CAN_N1997Y,UnDefined,20
Canada,CAN,1998,National,Income,Unit record,CAN_N1998Y,UnDefined,20
Canada,CAN,2000,National,Income,Unit record,CAN_N2000Y,UnDefined,20
Canada,CAN,2004,National,Income,Unit record,CAN_N2004Y,UnDefined,20
Canada,CAN,2007,National,Income,Unit record,CAN_N2007Y,UnDefined,20
Canada,CAN,2010,National,Income,Unit record,CAN_N2010Y,UnDefined,20
Switzerland,CHE,2007,National,Income,Unit record,CHE_N2007Y,UnDefined,100
Switzerland,CHE,2008,National,Income,Unit record,CHE_N2008Y,UnDefined,100
Switzerland,CHE,2009,National,Income,Unit record,CHE_N2009Y,UnDefined,100
Switzerland,CHE,2010,National,Income,Unit record,CHE_N2010Y,UnDefined,100
Switzerland,CHE,2011,National,Income,Unit record,CHE_N2011Y,UnDefined,100
Switzerland,CHE,2012,National,Income,Unit record,CHE_N2012Y,UnDefined,100
Chile,CHL,1987,National,Income,Unit record,CHL_N1987Y,UnDefined,100
Chile,CHL,1990,National,Income,Unit record,CHL_N1990Y,UnDefined,100
Chile,CHL,1992,National,Income,Unit record,CHL_N1992Y,UnDefined,100
Chile,CHL,1994,National,Income,Unit record,CHL_N1994Y,UnDefined,100
Chile,CHL,1996,National,Income,Unit record,CHL_N1996Y,UnDefined,100
Chile,CHL,1998,National,Income,Unit record,CHL_N1998Y,UnDefined,100
Chile,CHL,2000,National,Income,Unit record,CHL_N2000Y,UnDefined,100
Chile,CHL,2003,National,Income,Unit record,CHL_N2003Y,UnDefined,100
Chile,CHL,2006,National,Income,Unit record,CHL_N2006Y,UnDefined,100
Chile,CHL,2009,National,Income,Unit record,CHL_N2009Y,UnDefined,100
Chile,CHL,2011,National,Income,Unit record,CHL_N2011Y,UnDefined,100
Chile,CHL,2013,National,Income,Unit record,CHL_N2013Y,UnDefined,100
China,CHN,1981,Rural,Income,Grouped,CHN_R1981Y,UnDefined,10
China,CHN,1984,Rural,Income,Grouped,CHN_R1984Y,UnDefined,10
China,CHN,1987,Rural,Income,Grouped,CHN_R1987Y,UnDefined,12
China,CHN,1990,Rural,Consumption,Grouped,CHN_R1990X,UnDefined,10
China,CHN,1993,Rural,Consumption,Grouped,CHN_R1993X,UnDefined,10
China,CHN,1996,Rural,Consumption,Grouped,CHN_R1996X,UnDefined,19
China,CHN,1999,Rural,Consumption,Grouped,CHN_R1999X,UnDefined,19
China,CHN,2002,Rural,Consumption,Grouped,CHN_R2002X,UnDefined,20
China,CHN,2005,Rural,Consumption,Grouped,CHN_R2005X,UnDefined,17
China,CHN,2008,Rural,Consumption,Grouped,CHN_R2008X,UnDefined,20
China,CHN,2010,Rural,Consumption,Grouped,CHN_R2010X,UnDefined,20
China,CHN,2011,Rural,Consumption,Grouped,CHN_R2011X,UnDefined,20
China,CHN,2012,Rural,Consumption,Grouped,CHN_R2012X,UnDefined,20
China,CHN,2013,Rural,Consumption,Grouped,CHN_R2013X,UnDefined,20
China,CHN,1981,Urban,Income,Grouped,CHN_U1981Y,UnDefined,6
China,CHN,1984,Urban,Income,Grouped,CHN_U1984Y,UnDefined,6
China,CHN,1987,Urban,Income,Grouped,CHN_U1987Y,UnDefined,10
China,CHN,1990,Urban,Consumption,Grouped,CHN_U1990X,UnDefined,20
China,CHN,1993,Urban,Consumption,Grouped,CHN_U1993X,UnDefined,20
China,CHN,1996,Urban,Consumption,Grouped,CHN_U1996X,UnDefined,20
China,CHN,1999,Urban,Consumption,Grouped,CHN_U1999X,UnDefined,20
China,CHN,2002,Urban,Consumption,Grouped,CHN_U2002X,UnDefined,20
China,CHN,2005,Urban,Consumption,Grouped,CHN_U2005X,UnDefined,20
China,CHN,2008,Urban,Consumption,Grouped,CHN_U2008X,UnDefined,20
China,CHN,2010,Urban,Consumption,Grouped,CHN_U2010X,UnDefined,20
China,CHN,2011,Urban,Consumption,Grouped,CHN_U2011X,UnDefined,20
China,CHN,2012,Urban,Consumption,Grouped,CHN_U2012X,UnDefined,20
China,CHN,2013,Urban,Consumption,Grouped,CHN_U2013X,UnDefined,20
China,CHN,1981,Rural,Income,Grouped,CHN_R1981Y,UnDefined,10
China,CHN,1981,Urban,Income,Grouped,CHN_U1981Y,UnDefined,6
China,CHN,1984,Rural,Income,Grouped,CHN_R1984Y,UnDefined,10
China,CHN,1984,Urban,Income,Grouped,CHN_U1984Y,UnDefined,6
China,CHN,1987,Rural,Income,Grouped,CHN_R1987Y,UnDefined,12
China,CHN,1987,Urban,Income,Grouped,CHN_U1987Y,UnDefined,10
China,CHN,1990,Rural,Consumption,Grouped,CHN_R1990X,UnDefined,10
China,CHN,1990,Urban,Consumption,Grouped,CHN_U1990X,UnDefined,20
China,CHN,1993,Rural,Consumption,Grouped,CHN_R1993X,UnDefined,10
China,CHN,1993,Urban,Consumption,Grouped,CHN_U1993X,UnDefined,20
China,CHN,1996,Rural,Consumption,Grouped,CHN_R1996X,UnDefined,19
China,CHN,1996,Urban,Consumption,Grouped,CHN_U1996X,UnDefined,20
China,CHN,1999,Rural,Consumption,Grouped,CHN_R1999X,UnDefined,19
China,CHN,1999,Urban,Consumption,Grouped,CHN_U1999X,UnDefined,20
China,CHN,2002,Rural,Consumption,Grouped,CHN_R2002X,UnDefined,20
China,CHN,2002,Urban,Consumption,Grouped,CHN_U2002X,UnDefined,20
China,CHN,2005,Rural,Consumption,Grouped,CHN_R2005X,UnDefined,17
China,CHN,2005,Urban,Consumption,Grouped,CHN_U2005X,UnDefined,20
China,CHN,2008,Aggregated,Consumption,Grouped,CHN_A2008X,UnDefined,10
China,CHN,2008,Rural,Consumption,Grouped,CHN_R2008X,UnDefined,20
China,CHN,2008,Urban,Consumption,Grouped,CHN_U2008X,UnDefined,20
China,CHN,2010,Rural,Consumption,Grouped,CHN_R2010X,UnDefined,20
China,CHN,2010,Urban,Consumption,Grouped,CHN_U2010X,UnDefined,20
China,CHN,2011,Rural,Consumption,Grouped,CHN_R2011X,UnDefined,20
China,CHN,2011,Urban,Consumption,Grouped,CHN_U2011X,UnDefined,20
China,CHN,2012,Aggregated,Consumption,Grouped,CHN_A2012X,UnDefined,10
China,CHN,2012,Rural,Consumption,Grouped,CHN_R2012X,UnDefined,20
China,CHN,2012,Urban,Consumption,Grouped,CHN_U2012X,UnDefined,20
China,CHN,2013,Rural,Consumption,Grouped,CHN_R2013X,UnDefined,20
China,CHN,2013,Urban,Consumption,Grouped,CHN_U2013X,UnDefined,20
Cote d'Ivoire,CIV,1985,National,Consumption,Unit record,CIV_N1985X,UnDefined,100
Cote d'Ivoire,CIV,1986,National,Consumption,Unit record,CIV_N1986X,UnDefined,100
Cote d'Ivoire,CIV,1987,National,Consumption,Unit record,CIV_N1987X,UnDefined,100
Cote d'Ivoire,CIV,1988,National,Consumption,Unit record,CIV_N1988X,UnDefined,100
Cote d'Ivoire,CIV,1992,National,Consumption,Unit record,CIV_N1992X,UnDefined,100
Cote d'Ivoire,CIV,1995,National,Consumption,Unit record,CIV_N1995X,UnDefined,20
Cote d'Ivoire,CIV,1998,National,Consumption,Unit record,CIV_N1998X,UnDefined,100
Cote d'Ivoire,CIV,2002,National,Consumption,Unit record,CIV_N2002X,UnDefined,100
Cote d'Ivoire,CIV,2008,National,Consumption,Unit record,CIV_N2008X,UnDefined,100
Cameroon,CMR,1996,National,Consumption,Unit record,CMR_N1996X,UnDefined,100
Cameroon,CMR,2001,National,Consumption,Unit record,CMR_N2001X,UnDefined,100
Cameroon,CMR,2007,National,Consumption,Unit record,CMR_N2007X,UnDefined,100
Cameroon,CMR,2014,National,Consumption,Unit record,CMR_N2014X,UnDefined,100
"Congo, Republic of",COG,2005,National,Consumption,Unit record,COG_N2005X,UnDefined,100
"Congo, Republic of",COG,2011,National,Consumption,Unit record,COG_N2011X,UnDefined,100
Colombia,COL,1980,Urban,Income,Grouped,COL_U1980Y,UnDefined,10
Colombia,COL,1988,Urban,Income,Grouped,COL_U1988Y,UnDefined,20
Colombia,COL,1989,Urban,Income,Grouped,COL_U1989Y,UnDefined,10
Colombia,COL,1991,Urban,Income,Grouped,COL_U1991Y,UnDefined,20
Colombia,COL,1992,National,Income,Unit record,COL_N1992Y,UnDefined,100
Colombia,COL,1996,National,Income,Unit record,COL_N1996Y,UnDefined,100
Colombia,COL,1999,National,Income,Unit record,COL_N1999Y,UnDefined,100
Colombia,COL,2000,National,Income,Unit record,COL_N2000Y,UnDefined,100
Colombia,COL,2001,National,Income,Unit record,COL_N2001Y,UnDefined,100
Colombia,COL,2002,National,Income,Unit record,COL_N2002Y,UnDefined,100
Colombia,COL,2003,National,Income,Unit record,COL_N2003Y,UnDefined,100
Colombia,COL,2004,National,Income,Unit record,COL_N2004Y,UnDefined,100
Colombia,COL,2005,National,Income,Unit record,COL_N2005Y,UnDefined,100
Colombia,COL,2008,National,Income,Unit record,COL_N2008Y,UnDefined,100
Colombia,COL,2009,National,Income,Unit record,COL_N2009Y,UnDefined,100
Colombia,COL,2010,National,Income,Unit record,COL_N2010Y,UnDefined,100
Colombia,COL,2011,National,Income,Unit record,COL_N2011Y,UnDefined,100
Colombia,COL,2012,National,Income,Unit record,COL_N2012Y,UnDefined,100
Colombia,COL,2013,National,Income,Unit record,COL_N2013Y,UnDefined,100
Colombia,COL,2014,National,Income,Unit record,COL_N2014Y,UnDefined,100
Comoros,COM,2004,National,Consumption,Unit record,COM_N2004X,UnDefined,100
Cabo Verde,CPV,2001,National,Consumption,Unit record,CPV_N2001X,UnDefined,100
Cabo Verde,CPV,2007,National,Consumption,Unit record,CPV_N2007X,UnDefined,100
Costa Rica,CRI,1981,National,Income,Grouped,CRI_N1981Y,UnDefined,10
Costa Rica,CRI,1986,National,Income,Grouped,CRI_N1986Y,UnDefined,20
Costa Rica,CRI,1989,National,Income,Unit record,CRI_N1989Y,UnDefined,100
Costa Rica,CRI,1990,National,Income,Unit record,CRI_N1990Y,UnDefined,100
Costa Rica,CRI,1991,National,Income,Unit record,CRI_N1991Y,UnDefined,100
Costa Rica,CRI,1992,National,Income,Unit record,CRI_N1992Y,UnDefined,100
Costa Rica,CRI,1993,National,Income,Unit record,CRI_N1993Y,UnDefined,100
Costa Rica,CRI,1994,National,Income,Unit record,CRI_N1994Y,UnDefined,100
Costa Rica,CRI,1995,National,Income,Unit record,CRI_N1995Y,UnDefined,100
Costa Rica,CRI,1996,National,Income,Unit record,CRI_N1996Y,UnDefined,100
Costa Rica,CRI,1997,National,Income,Unit record,CRI_N1997Y,UnDefined,100
Costa Rica,CRI,1998,National,Income,Unit record,CRI_N1998Y,UnDefined,100
